match_id,date,venue,team1,team2,winner,toss_winner,toss_decision,format,year
1308238,2022-11-16,"Gaddafi Stadium, Lahore",Ireland,Pakistan,Ireland,Ireland,bat,T20,2022
1309701,2022-04-08,"United Cricket Club Ground, Windhoek",Uganda,Namibia,Namibia,Namibia,field,T20,2022
1309702,2022-04-09,"United Cricket Club Ground, Windhoek",Namibia,Uganda,Uganda,Uganda,field,T20,2022
1309703,2022-04-10,"United Cricket Club Ground, Windhoek",Namibia,Uganda,Namibia,Uganda,field,T20,2022
1310161,2022-04-29,"Desert Springs Cricket Ground, Almeria",Norway,Guernsey,Norway,Norway,bat,T20,2022
1310162,2022-04-30,"Desert Springs Cricket Ground, Almeria",Spain,Norway,Spain,Spain,bat,T20,2022
1310163,2022-04-30,"Desert Springs Cricket Ground, Almeria",Norway,Guernsey,Guernsey,Norway,bat,T20,2022
1310164,2022-04-30,"Desert Springs Cricket Ground, Almeria",Guernsey,Spain,Spain,Guernsey,bat,T20,2022
1310165,2022-05-01,"Desert Springs Cricket Ground, Almeria",Spain,Guernsey,Guernsey,Spain,bat,T20,2022
1310166,2022-05-01,"Desert Springs Cricket Ground, Almeria",Spain,Norway,Spain,Spain,bat,T20,2022
1310167,2022-05-07,"Svanholm Park, Brondby",Denmark,Finland,Finland,Finland,field,T20,2022
1310168,2022-05-07,"Svanholm Park, Brondby",Denmark,Finland,Denmark,Finland,field,T20,2022
1310169,2022-05-08,"Svanholm Park, Brondby",Denmark,Finland,Denmark,Denmark,bat,T20,2022
1310170,2022-05-10,Marsa Sports Club,Gibraltar,Malta,Malta,Malta,field,T20,2022
1310171,2022-05-10,Marsa Sports Club,Malta,Hungary,Malta,Hungary,field,T20,2022
1310172,2022-05-10,Marsa Sports Club,Gibraltar,Hungary,Hungary,Hungary,field,T20,2022
1310173,2022-05-11,Marsa Sports Club,Romania,Malta,Malta,Malta,field,T20,2022
1310174,2022-05-11,Marsa Sports Club,Czech Republic,Gibraltar,Czech Republic,Czech Republic,bat,T20,2022
1310175,2022-05-11,Marsa Sports Club,Hungary,Bulgaria,Hungary,Bulgaria,field,T20,2022
1310176,2022-05-12,Marsa Sports Club,Malta,Czech Republic,Malta,Czech Republic,field,T20,2022
1310177,2022-05-12,Marsa Sports Club,Czech Republic,Bulgaria,Czech Republic,Czech Republic,bat,T20,2022
1310178,2022-05-12,Marsa Sports Club,Romania,Hungary,Hungary,Romania,bat,T20,2022
1310179,2022-05-13,Marsa Sports Club,Gibraltar,Bulgaria,Gibraltar,Gibraltar,bat,T20,2022
1310180,2022-05-13,Marsa Sports Club,Romania,Czech Republic,Romania,Romania,bat,T20,2022
1310181,2022-05-13,Marsa Sports Club,Bulgaria,Romania,Romania,Bulgaria,bat,T20,2022
1310182,2022-05-14,Marsa Sports Club,Hungary,Czech Republic,Czech Republic,Hungary,bat,T20,2022
1310183,2022-05-14,Marsa Sports Club,Gibraltar,Romania,Romania,Gibraltar,bat,T20,2022
1310184,2022-05-14,Marsa Sports Club,Bulgaria,Malta,Malta,Bulgaria,bat,T20,2022
1310185,2022-05-15,Marsa Sports Club,Gibraltar,Bulgaria,Bulgaria,Gibraltar,bat,T20,2022
1310186,2022-05-15,Marsa Sports Club,Czech Republic,Hungary,Czech Republic,Hungary,field,T20,2022
1310187,2022-05-15,Marsa Sports Club,Romania,Malta,Romania,Romania,bat,T20,2022
1310188,2022-05-20,"College Field, St Peter Port",Jersey,Guernsey,Jersey,Guernsey,field,T20,2022
1310887,2022-04-21,"Centre for Cricket Development Ground, Windhoek",Zimbabwe,Uganda,Zimbabwe,Zimbabwe,bat,T20,2022
1310888,2022-04-20,"Centre for Cricket Development Ground, Windhoek",Zimbabwe,Namibia,Namibia,Zimbabwe,bat,T20,2022
1310889,2022-04-21,"Centre for Cricket Development Ground, Windhoek",Namibia,Uganda,Namibia,Uganda,field,T20,2022
1310890,2022-04-22,"Centre for Cricket Development Ground, Windhoek",Zimbabwe,Uganda,Zimbabwe,Zimbabwe,bat,T20,2022
1310891,2022-04-23,"Centre for Cricket Development Ground, Windhoek",Namibia,Zimbabwe,Zimbabwe,Zimbabwe,field,T20,2022
1310892,2022-04-23,"Centre for Cricket Development Ground, Windhoek",Namibia,Uganda,Namibia,Uganda,field,T20,2022
1310893,2022-04-24,"Centre for Cricket Development Ground, Windhoek",Zimbabwe,Uganda,Zimbabwe,Uganda,field,T20,2022
1310894,2022-04-24,"Centre for Cricket Development Ground, Windhoek",Zimbabwe,Namibia,Zimbabwe,Namibia,field,T20,2022
