match_id,date,venue,team1,team2,winner,toss_winner,toss_decision,format,year
1377778,2023-07-07,Harare Sports Club,West Indies,Sri Lanka,Sri Lanka,Sri Lanka,field,ODI,2023
1377779,2023-07-09,Harare Sports Club,Sri Lanka,Netherlands,Sri Lanka,Netherlands,field,ODI,2023
1378191,2023-06-26,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",West Indies,Ireland,West Indies,West Indies,bat,ODI,2023
1378192,2023-06-28,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Ireland,West Indies,,West Indies,field,ODI,2023
1378193,2023-07-01,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Ireland,West Indies,West Indies,Ireland,bat,ODI,2023
1378198,2023-07-25,"Castle Avenue, Dublin",Australia,Ireland,Australia,Ireland,field,ODI,2023
1378199,2023-07-29,"Castle Avenue, Dublin",Ireland,Australia,Australia,Australia,field,ODI,2023
1379757,2023-06-27,Galle International Stadium,New Zealand,Sri Lanka,Sri Lanka,New Zealand,bat,ODI,2023
1379758,2023-06-30,Galle International Stadium,New Zealand,Sri Lanka,New Zealand,New Zealand,bat,ODI,2023
1379759,2023-07-03,Galle International Stadium,New Zealand,Sri Lanka,Sri Lanka,New Zealand,bat,ODI,2023
1381214,2023-07-27,"Kensington Oval, Bridgetown, Barbados",West Indies,India,India,India,field,ODI,2023
1381215,2023-07-29,"Kensington Oval, Bridgetown, Barbados",India,West Indies,West Indies,West Indies,field,ODI,2023
1381216,2023-08-01,"Brian Lara Stadium, Tarouba, Trinidad",India,West Indies,India,West Indies,field,ODI,2023
1382166,2023-07-16,"Shere Bangla National Stadium, Mirpur",Bangladesh,India,Bangladesh,India,field,ODI,2023
1382167,2023-07-19,"Shere Bangla National Stadium, Mirpur",India,Bangladesh,India,Bangladesh,field,ODI,2023
1382168,2023-07-22,"Shere Bangla National Stadium, Mirpur",Bangladesh,India,,Bangladesh,bat,ODI,2023
1382169,2023-09-08,"National Stadium, Karachi",South Africa,Pakistan,South Africa,South Africa,bat,ODI,2023
1382170,2023-09-11,"National Stadium, Karachi",Pakistan,South Africa,South Africa,Pakistan,bat,ODI,2023
1382171,2023-09-14,"National Stadium, Karachi",South Africa,Pakistan,Pakistan,South Africa,bat,ODI,2023
1384392,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,New Zealand,New Zealand,New Zealand,field,ODI,2023
1384393,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Netherlands,Pakistan,Netherlands,field,ODI,2023
1384395,2023-10-07,"Arun Jaitley Stadium, Delhi",South Africa,Sri Lanka,South Africa,Sri Lanka,field,ODI,2023
1384396,2023-10-08,"MA Chidambaram Stadium, Chepauk, Chennai",Australia,India,India,Australia,bat,ODI,2023
1384397,2023-10-09,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",New Zealand,Netherlands,New Zealand,Netherlands,field,ODI,2023
1384398,2023-10-10,"Himachal Pradesh Cricket Association Stadium, Dharamsala",England,Bangladesh,England,Bangladesh,field,ODI,2023
1384399,2023-10-10,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sri Lanka,Pakistan,Pakistan,Sri Lanka,bat,ODI,2023
1384401,2023-10-12,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",South Africa,Australia,South Africa,Australia,field,ODI,2023
1384402,2023-10-13,"MA Chidambaram Stadium, Chepauk, Chennai",Bangladesh,New Zealand,New Zealand,New Zealand,field,ODI,2023
1384403,2023-10-14,"Narendra Modi Stadium, Ahmedabad",Pakistan,India,India,India,field,ODI,2023
1384405,2023-10-16,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sri Lanka,Australia,Australia,Sri Lanka,bat,ODI,2023
1384406,2023-10-17,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Netherlands,South Africa,Netherlands,South Africa,field,ODI,2023
1384408,2023-10-19,"Maharashtra Cricket Association Stadium, Pune",Bangladesh,India,India,Bangladesh,bat,ODI,2023
1384409,2023-10-20,"M Chinnaswamy Stadium, Bengaluru",Australia,Pakistan,Australia,Pakistan,field,ODI,2023
1384410,2023-10-21,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Netherlands,Sri Lanka,Sri Lanka,Netherlands,bat,ODI,2023
1384411,2023-10-21,"Wankhede Stadium, Mumbai",South Africa,England,South Africa,England,field,ODI,2023
1384412,2023-10-22,"Himachal Pradesh Cricket Association Stadium, Dharamsala",New Zealand,India,India,India,field,ODI,2023
1384414,2023-10-24,"Wankhede Stadium, Mumbai",South Africa,Bangladesh,South Africa,South Africa,bat,ODI,2023
1384415,2023-10-25,"Arun Jaitley Stadium, Delhi",Australia,Netherlands,Australia,Australia,bat,ODI,2023
1384416,2023-10-26,"M Chinnaswamy Stadium, Bengaluru",England,Sri Lanka,Sri Lanka,England,bat,ODI,2023
1384417,2023-10-27,"MA Chidambaram Stadium, Chepauk, Chennai",Pakistan,South Africa,South Africa,Pakistan,bat,ODI,2023
1384418,2023-10-28,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Australia,New Zealand,Australia,New Zealand,field,ODI,2023
1384419,2023-10-28,"Eden Gardens, Kolkata",Netherlands,Bangladesh,Netherlands,Netherlands,bat,ODI,2023
1384420,2023-10-29,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",India,England,India,England,field,ODI,2023
1384422,2023-10-31,"Eden Gardens, Kolkata",Bangladesh,Pakistan,Pakistan,Bangladesh,bat,ODI,2023
1384423,2023-11-01,"Maharashtra Cricket Association Stadium, Pune",South Africa,New Zealand,South Africa,New Zealand,field,ODI,2023
1384424,2023-11-02,"Wankhede Stadium, Mumbai",India,Sri Lanka,India,Sri Lanka,field,ODI,2023
1384426,2023-11-04,"M Chinnaswamy Stadium, Bengaluru",New Zealand,Pakistan,Pakistan,Pakistan,field,ODI,2023
1384427,2023-11-04,"Narendra Modi Stadium, Ahmedabad",Australia,England,Australia,England,field,ODI,2023
1384428,2023-11-05,"Eden Gardens, Kolkata",India,South Africa,India,India,bat,ODI,2023
