match_id,date,venue,team1,team2,winner,toss_winner,toss_decision,format,year
1443548,2025-01-11,"Eden Park, Auckland",Sri Lanka,New Zealand,Sri Lanka,Sri Lanka,bat,ODI,2025
1443554,2025-03-29,"McLean Park, Napier",New Zealand,Pakistan,New Zealand,Pakistan,field,ODI,2025
1443555,2025-04-02,"Seddon Park, Hamilton",New Zealand,Pakistan,New Zealand,Pakistan,field,ODI,2025
1443556,2025-04-05,"Bay Oval, Mount Maunganui",New Zealand,Pakistan,New Zealand,Pakistan,field,ODI,2025
1443566,2024-12-21,"Basin Reserve, Wellington",Australia,New Zealand,Australia,New Zealand,field,ODI,2024
1443567,2024-12-23,"Basin Reserve, Wellington",Australia,New Zealand,Australia,Australia,bat,ODI,2024
1443568,2025-03-04,"McLean Park, Napier",Sri Lanka,New Zealand,,New Zealand,field,ODI,2025
1443569,2025-03-07,"Saxton Oval, Nelson",New Zealand,Sri Lanka,New Zealand,New Zealand,bat,ODI,2025
1443570,2025-03-09,"Saxton Oval, Nelson",New Zealand,Sri Lanka,New Zealand,New Zealand,bat,ODI,2025
1444543,2024-08-05,"Sportpark Maarschalkerweerd, Utrecht",Papua New Guinea,Netherlands,Netherlands,Netherlands,field,ODI,2024
1444544,2024-08-06,"Sportpark Maarschalkerweerd, Utrecht",Scotland,Papua New Guinea,Scotland,Papua New Guinea,field,ODI,2024
1444545,2024-08-08,"VRA Ground, Amstelveen",Scotland,Netherlands,Netherlands,Scotland,bat,ODI,2024
1444546,2024-08-09,"VRA Ground, Amstelveen",Papua New Guinea,Netherlands,Netherlands,Netherlands,field,ODI,2024
1444547,2024-08-11,"VRA Ground, Amstelveen",Papua New Guinea,Scotland,Scotland,Scotland,field,ODI,2024
1444548,2024-08-12,"VRA Ground, Amstelveen",Scotland,Netherlands,Scotland,Scotland,bat,ODI,2024
1444649,2024-11-24,"Queens Sports Club, Bulawayo",Zimbabwe,Pakistan,Zimbabwe,Pakistan,field,ODI,2024
1444650,2024-11-26,"Queens Sports Club, Bulawayo",Zimbabwe,Pakistan,Pakistan,Zimbabwe,bat,ODI,2024
1444651,2024-11-28,"Queens Sports Club, Bulawayo",Pakistan,Zimbabwe,Pakistan,Pakistan,bat,ODI,2024
1445034,2024-08-11,"Sportpark Westvliet, The Hague",Canada,Netherlands,Netherlands,Canada,bat,ODI,2024
1445035,2024-08-13,"Sportpark Westvliet, The Hague",United States of America,Canada,United States of America,Canada,field,ODI,2024
1445036,2024-08-15,"Sportpark Westvliet, The Hague",Netherlands,United States of America,Netherlands,United States of America,field,ODI,2024
1445037,2024-08-17,"Hazelaarweg, Rotterdam",Netherlands,Canada,Netherlands,Canada,field,ODI,2024
1445038,2024-08-19,"Hazelaarweg, Rotterdam",United States of America,Canada,United States of America,Canada,field,ODI,2024
1445039,2024-08-21,"Hazelaarweg, Rotterdam",Netherlands,United States of America,Netherlands,United States of America,field,ODI,2024
1448343,2025-05-29,"Edgbaston, Birmingham",England,West Indies,England,West Indies,field,ODI,2025
1448344,2025-06-01,"Sophia Gardens, Cardiff",West Indies,England,England,England,field,ODI,2025
1448345,2025-06-03,"Kennington Oval, London",West Indies,England,England,England,field,ODI,2025
